seed,density_drop,normal_collateral,visible_key_survival,deep_sentinel_survival,hidden_outlier_survival,top20_deep_hit_rate
0,0.0,0.0,0.0,1.0,1.0,0.0
0,0.05,0.0009259259259258856,0.0,1.0,0.0,0.6
0,0.1,0.042592592592592626,0.0,1.0,0.0,0.6
0,0.15,0.09537037037037033,0.0,1.0,0.0,0.6
0,0.2,0.15000000000000002,0.0,1.0,0.0,0.6
0,0.25,0.20277777777777772,0.0,1.0,0.0,0.6
0,0.3,0.2583333333333333,0.0,1.0,0.0,0.6
0,0.35,0.31018518518518523,0.0,1.0,0.0,0.65
0,0.4,0.3657407407407407,0.0,1.0,0.0,0.7
0,0.45,0.4222222222222223,0.0,1.0,0.0,0.75
0,0.5,0.47870370370370374,0.0,1.0,0.0,0.75
1,0.0,0.0,0.0,1.0,1.0,0.05
1,0.05,0.002777777777777768,0.0,1.0,0.0,0.6
1,0.1,0.04166666666666663,0.0,1.0,0.0,0.65
1,0.15,0.09351851851851856,0.0,1.0,0.0,0.65
1,0.2,0.14537037037037037,0.0,1.0,0.0,0.65
1,0.25,0.19907407407407407,0.0,1.0,0.0,0.65
1,0.3,0.25462962962962965,0.0,1.0,0.0,0.65
1,0.35,0.3111111111111111,0.0,1.0,0.0,0.7
1,0.4,0.3666666666666667,0.0,1.0,0.0,0.7
1,0.45,0.42314814814814816,0.0,1.0,0.0,0.75
1,0.5,0.4805555555555555,0.0,1.0,0.0,0.75
2,0.0,0.0,0.0,1.0,1.0,0.05
2,0.05,0.005555555555555536,0.0,1.0,0.0,0.6
2,0.1,0.042592592592592626,0.0,1.0,0.0,0.6
2,0.15,0.09444444444444444,0.0,1.0,0.0,0.6
2,0.2,0.14722222222222225,0.0,1.0,0.0,0.6
2,0.25,0.20370370370370372,0.0,1.0,0.0,0.6
2,0.3,0.2574074074074074,0.0,1.0,0.0,0.6
2,0.35,0.312962962962963,0.0,1.0,0.0,0.6
2,0.4,0.3675925925925926,0.0,1.0,0.0,0.6
2,0.45,0.42407407407407405,0.0,1.0,0.0,0.6
2,0.5,0.4805555555555555,0.0,1.0,0.0,0.6
3,0.0,0.0,0.0,1.0,1.0,0.0
3,0.05,0.00462962962962965,0.0,1.0,0.0,0.75
3,0.1,0.04629629629629628,0.0,1.0,0.0,0.75
3,0.15,0.09444444444444444,0.0,1.0,0.0,0.75
3,0.2,0.14537037037037037,0.0,1.0,0.0,0.75
3,0.25,0.20185185185185184,0.0,1.0,0.0,0.75
3,0.3,0.25648148148148153,0.0,1.0,0.0,0.75
3,0.35,0.3111111111111111,0.0,1.0,0.0,0.75
3,0.4,0.3666666666666667,0.0,1.0,0.0,0.75
3,0.45,0.4222222222222223,0.0,1.0,0.0,0.75
3,0.5,0.47962962962962963,0.0,1.0,0.0,0.75
4,0.0,0.0,0.0,1.0,1.0,0.05
4,0.05,0.002777777777777768,0.0,1.0,0.0,0.4
4,0.1,0.037962962962962976,0.0,1.0,0.0,0.4
4,0.15,0.09166666666666667,0.0,1.0,0.0,0.4
4,0.2,0.1425925925925926,0.0,1.0,0.0,0.4
4,0.25,0.19907407407407407,0.0,1.0,0.0,0.4
4,0.3,0.25462962962962965,0.0,1.0,0.0,0.4
4,0.35,0.30925925925925923,0.0,1.0,0.0,0.45
4,0.4,0.3648148148148148,0.0,1.0,0.0,0.45
4,0.45,0.4212962962962963,0.0,1.0,0.0,0.55
4,0.5,0.47777777777777775,0.0,1.0,0.0,0.65
5,0.0,0.0,0.0,1.0,1.0,0.05
5,0.05,0.0,0.0,1.0,0.0,0.5
5,0.1,0.040740740740740744,0.0,1.0,0.0,0.5
5,0.15,0.09166666666666667,0.0,1.0,0.0,0.5
5,0.2,0.1444444444444445,0.0,1.0,0.0,0.5
5,0.25,0.20092592592592595,0.0,1.0,0.0,0.5
5,0.3,0.25555555555555554,0.0,1.0,0.0,0.5
5,0.35,0.312037037037037,0.0,1.0,0.0,0.5
5,0.4,0.3666666666666667,0.0,1.0,0.0,0.6
5,0.45,0.4222222222222223,0.0,1.0,0.0,0.6
5,0.5,0.47962962962962963,0.0,1.0,0.0,0.65
6,0.0,0.0,0.0,1.0,1.0,0.0
6,0.05,0.002777777777777768,0.0,1.0,0.020833333333333332,0.7
6,0.1,0.045370370370370394,0.0,1.0,0.0,0.7
6,0.15,0.09351851851851856,0.0,1.0,0.0,0.75
6,0.2,0.1444444444444445,0.0,1.0,0.0,0.75
6,0.25,0.19999999999999996,0.0,1.0,0.0,0.75
6,0.3,0.25648148148148153,0.0,1.0,0.0,0.75
6,0.35,0.312962962962963,0.0,1.0,0.0,0.75
6,0.4,0.3675925925925926,0.0,1.0,0.0,0.75
6,0.45,0.4212962962962963,0.0,1.0,0.0,0.75
6,0.5,0.47870370370370374,0.0,1.0,0.0,0.75
7,0.0,0.0,0.0,1.0,1.0,0.0
7,0.05,0.0037037037037036535,0.0,1.0,0.041666666666666664,0.5
7,0.1,0.045370370370370394,0.0,1.0,0.0,0.55
7,0.15,0.09537037037037033,0.0,1.0,0.0,0.6
7,0.2,0.14722222222222225,0.0,1.0,0.0,0.6
7,0.25,0.20092592592592595,0.0,1.0,0.0,0.6
7,0.3,0.25462962962962965,0.0,1.0,0.0,0.6
7,0.35,0.31018518518518523,0.0,1.0,0.0,0.6
7,0.4,0.3657407407407407,0.0,1.0,0.0,0.6
7,0.45,0.4222222222222223,0.0,1.0,0.0,0.6
7,0.5,0.47962962962962963,0.0,1.0,0.0,0.65
8,0.0,0.0,0.0,1.0,1.0,0.0
8,0.05,0.0009259259259258856,0.0,1.0,0.0,0.7
8,0.1,0.042592592592592626,0.0,1.0,0.0,0.7
8,0.15,0.09722222222222221,0.0,1.0,0.0,0.7
8,0.2,0.14907407407407403,0.0,1.0,0.0,0.7
8,0.25,0.20277777777777772,0.0,1.0,0.0,0.7
8,0.3,0.25555555555555554,0.0,1.0,0.0,0.7
8,0.35,0.312037037037037,0.0,1.0,0.0,0.7
8,0.4,0.3657407407407407,0.0,1.0,0.0,0.7
8,0.45,0.4212962962962963,0.0,1.0,0.0,0.7
8,0.5,0.47870370370370374,0.0,1.0,0.0,0.7
9,0.0,0.0,0.0,1.0,1.0,0.0
9,0.05,0.0037037037037036535,0.0,1.0,0.0,0.45
9,0.1,0.0444444444444444,0.0,1.0,0.0,0.5
9,0.15,0.09629629629629632,0.0,1.0,0.0,0.5
9,0.2,0.1509259259259259,0.0,1.0,0.0,0.55
9,0.25,0.2055555555555556,0.0,1.0,0.0,0.55
9,0.3,0.2601851851851852,0.0,1.0,0.0,0.55
9,0.35,0.31666666666666665,0.0,1.0,0.0,0.65
9,0.4,0.37222222222222223,0.0,1.0,0.0,0.65
9,0.45,0.4268518518518518,0.0,1.0,0.0,0.65
9,0.5,0.4824074074074074,0.0,1.0,0.0,0.65
